6a6bb6a8378aee900dbc832189483535_0_3 8,7,14,3,29,31
bb9bdef9b200b6d53d0f0c6750a9da3d_0_3 3,16
078edc2b29d42e0c5de6afb4f6b4059a_0_4 8,29
414f517d62b2b00ccdb18ea8188a99cb_0_3 11,22,20,8
58ebc1c44f754b2fc40648e59491cbb8_0_0 9,30
07d941db6be0c0fdfd5884ea9e2f8638_0_2 16,3
87186d1a458efe811edbbe3ddf6e074c_0_0 31,14,22,18,29,3,11,7,8,20
a6b3fccfdbc81d74d6b831c3718885c1_0_4 20,8,22,11,15
c4530d4bcb4111825b04cf9af9797458_0_17 31,14,3,29
96bda20947d46f22e26447e53b2a4627_0_0 8,5,29,3,7
134d785f6e456fbdeec0c748c6e71361_1_2 3,16
b3ea5c92e7b36218f59b10b1b0f6165a_0_164 23,29,18,8,5
f8ad1892f11206798cc970374ea03205_0_108 8,18,2,21
63ea2da9be5d5ffc5c54e7859cbbf397_0_1 14,16,31,3
8050368d28da60e692d66ea98bd958f0_0_2 16,3
26d669c8103792c09fa89acdd5ff23e6_1_4 16,3
2ba8b4edf55f686abc8cfe575b117872_0_0 29,8,9,3
28e6b044e3c260ff33e1ff4917062ba2_0_0 20,11,16,3
a78da7d7fa13d83157f82ccc5f8de643_0_2 3,29
cb39ee4440757cec80b25e2f8a8f9550_0_27 11,20,8
01830e6c304f66d1f4249ddcea0db95f_0_14 3,7,16
807ff87046f61b1d7e7689bebf273939_1_3 9,26,0,25
7ab935a4eca80f68caf7ca134604f060_0_15 0,26,28,9
4c367373905f48805f5df7c8db3b5680_0_111 20,8,11,18
cab82e2374edfd02b9c57037624de824_0_0 2,21,18,1,8,26,30
59bb34683bb98c3417f67d962b160235_1_13 5,31,8,16,14,3
880aec0ef1861d853d1f828e83c3769c_0_4 8,11,20,18
dacf1ec6d8d1092f46c98cb926579639_0_2 16,3
4aa7bed6936a90a53ab5a388c2a50271_0_4 20,8,11,22
51021b09dd548707b979394504a40e62_0_0 8,20,29,3,11
9eb4b9dd5491c65cb4750a29de9a5a4d_0_4 3,20,16,8,15,31,11,14
23f0a9d2f98dd560f4899e881c01a94e_0_7 14,16,7,3,29
9f8780d7fdcc4703d447d0a7795afcd7_0_0 3,29
f99f0614065f48d1ac0248c035483eb3_0_4 18,8
2c13f9166818a17032720608b30dabe5_1_5 8,20,22,11
1c578ce0daa68a990142dd9b46dcf608_0_3 8
6de3b17eb6631f504833755028249803_0_9 21,2,29,7,3,8
3d11f0453642bc8dabf1ae56ce598dc3_0_6 8,2,3,14,31,21,29
d02999ad0fd7c1ca4eec99dfcbbabc8a_0_12 30,8
760670f60731b313b7367e9e342e73cc_1_4 3,16
7e3e05192f5be186cb5b388f0717bd47_0_0 33,18,14,16,4,8,5,3,7,21,2,27,29
49a4781425187b2a5f551cbe3dc04fa9_1_0 18,8
14f45f1c049e885719e77610e0a17ea6_0_3 8,31,29,14
c221c74665708f71e157882aa41aeaab_0_0 9
59646b3064eedd47c490e2bcf01a0cec_0_3 29,18,2,8,3,21
6638661b954490655143ca7a03790e97_0_3 16,3
30bee0d101fb328133fbb285284ce3c1_0_0 2,8,21,29
1995a9d966552783a16d136e444d5337_0_16 11,20,8,18
6a05a580b85cdeb860957d63a3d64088_0_2 2,27,6,21,3,29,8,18
218df1df4219ccb1b488aac1d6c2449b_1_3 16,3
af3271c8d9ce8d5ae227318e28164491_0_2 20,29,11,8
4a404181ed081e1949d5e594e69bce1a_0_0 8,18,29,21,2,3
2599e19f8a918d1c12da29f91802453d_0_1 16,3
4dec794666c1f91ff15733163099a010_0_2 8,18,30,22
4c80278bebcf3a0596be80661b1eea69_0_2 14,29,27,31,3,4
8d5a9f4c0393815ed98cf7c76a4122db_0_1 9
7077a7193687d2a55a5ba48342c2abd2_0_0 8,18,29,22,3,14,31
edb5357d253d2473a2fb0ee4c59f1f0b_0_1 20,11,8,18
364cfbc7e742bb9235f1c104b359b592_0_0 16,8,3
deea250285fc071313adc87eccd2a4fc_0_2 26,9,0
0a417c6459befd8a9fa4a5428f2de1e9_0_2 0,25
30aa6e756743204c08017898b5508610_0_7 16,3
96571964ebb2826393ca8bf7ab1a115e_0_3 29,20,6,19,11,8,18
22a1aecccb92bcd684fddec55c435906_0_2 7,3,8,29,22
e8a6dcfe1104b1b374ebedf3d9f42f02_0_70 27,18,8,29,14,3,6
e1876d70ac11cf8fc2f3a1a722cf4b43_0_18 9
03d12c86f19f832d877f922f4c241d44_0_0 3,8,29,9,18,14,7
7e72468ed18d415d681285c36fd7edf9_0_2 7,29,31,18,14,8
289b5ab05c44a9c07b0e191478779d4f_0_0 9
8bbf2b316c85b97002cb69e73a1d5c1a_0_4 23,2,0,26,28,21,9
5cb0dfa697750644fc2809c57cc31fb6_0_6 16,3
503bbd80b5c90ca4413d1c6951909810_0_3 7,16,3
a6688d011596c33a7a951ed89424fdd6_0_2 25,0,9
3a8915413640681bdd79b592edc04856_0_8 8,18,30
305a2543f0b22fbb85c3bd71beed5f8b_0_2 18,22,8
8f63a04d40c665227bcaf9573776889e_0_1 20,11
44158d963a48cd2be0c61d24942b8a2d_0_2 8,29
eaa3825dc515a8cdb318fee0a9d8838e_1_4 20,8,11,22,30
189452c66777a78acb8295bf62f4a143_0_38 9
cc2300bad6fb6574f41e9ea6b26f3c30_0_19 31,7,14,3,29,8
5a7e4fad94f989a75db3e229619a1570_0_12 30,8
c9266386b4618594570967dbf1fdb4a2_0_2 3,16,31,14,7
ff9850f485da06546bffa48c5bb15a06_0_83 18,21,8,2,7,30,22
6eb036bf9725aa8ed2b6e97031e3eef9_0_0 18,8,29
a4cc08da218bceb411fd9ccb732428fb_0_0 3,7,29
ea22ea14acf63b64da8ef647dff4ce17_0_0 29,3
0d9f66efc8c54db86681cd1ecb1eab56_0_3 31,14,8,18
81f42aff5d9308f21edb7868fb9251c1_0_0 16,3,20,29,11,8,18
5b8b16fe0447f29774b04cb375d3b746_0_8 16,3
5691401b5209f615899d5cadc6c0ddcd_0_2 3,8,29
aec9a8ae6d50ca6f972843bc318ea78f_0_7 8,22,20,11
dae7dc3d269153a5abac16b3e8ef9747_0_2 25,10,9,23,12
d433966fd37e3b95a53b7135a78bd959_0_7 3,29,7
e4eccef9ee00315ccb39379bf1292def_0_1 7,29,3,14,31
3a58821caddef25a205ee978b8cfcd09_0_18 22,20,11,9,8
f540efb252769aaf0b85f340bf198467_0_6 9
eca941bf3d25b03def4d87d4aae3dd25_0_31 22,11,20
91f1d2c3a5b939d915d73e6a4048f3bf_0_38 31,29,14,8,7
0732642ea9bd066ce0afb5de52b281d6_0_44 18,8,22
8fa304fa725f263df92826a19da396a8_0_4 3,29
dac9dd03aad77eac01a88c627a6ce746_0_9 9,0,11,28,25
2dd80bde4711870582c699c8c5670758_0_6 11,3,14,20,8,16,31
61f479990e355b52965c96527dc163ab_0_1 8,11,18,20,22
ff2c9fec4a011b656f015625bd601ebf_0_5 16,3,31,14
fd60e1720a5bbc94e97cdbe97b68b869_0_14 9,0,25
46780b3ffe2db7a657e8ab2b517e25fa_1_0 16,3,7
357cab60dcfb9d6a1c49ba6c7c9a1adc_0_6 9
3690e298a56b79feb0c71a03d0c5eb6e_0_4 0,25,28,32,5,9
b700bf79819d7817222f0d8c516ec590_0_1 16,3
1122136973925b1db51f2c8143303128_0_1 31,29,14,8
664d4ec75a39ab0a3347e7f9b86886a9_0_0 14,31,8,29
89089289f3f03b941e0be313124616d2_0_0 22,8,18
12aacf2589d5fa3e177a051eb024b40a_0_2 8,18,30
5a2cdc1dcdce9e50572fb16d73ade3ab_0_1 3,16,22,8,20,11,14,31
7dd4d8e86c0a4885711a5a9effcb95d2_0_7 29,31,14,8
69fe3d41aea18e8e2fa303c302024002_0_20 11,18,8,20
35165bfc2b9061c11250cf494ab4f34b_0_0 8,22
5a2db65f8e73aeb9b374ac05ab622011_0_0 29,14,18,3,16,31,8
13e9ea7f016134f2a0fa2fd5cff03807_0_4 29,11,3,22,20,8
e3869fa8457e56779aea096a404ff71c_0_3 9,26,0
0f57ebec425deaf99e083b581ff47742_0_3 31,2,29,21,7,3,8,18,14
d63e173b48ab2910c2c7d9a274d2aa04_0_32 25,26,0,9
5174207d02bd7d938b1cf7db428b2b0d_0_5 5,8,18,7
07471cbbe50f69e33097f822c16a3955_0_1 18,29,14,8,31,3
af093c8d2aa519fd05f51c0bfcd25e64_1_0 3,16
8a8f4838ed9dfca818fc2beb9d5484c4_0_2 8,3,9,2,16,29,23,21
dcd84283efa596ff03a4862c7ce3346b_0_35 29,31,3,14,8
feae9909e880f551ca97eaeaf3e88820_0_3 8,29,3,18
f6023a8828a70495a53fd4cd46e15c6f_0_15 25,26,0,9
98f5865537701aa47a8f8650edb39960_0_3 0,25,9,26,17
bcace184b4d72e5f9287862274a7c4b1_0_37 16,21,3,2,7
79f5f23c78d35ec7cf30c911b7d195ee_0_2 0,26,30,1,25,9,17
e59ab850c4fd5f17db54ef08fed3b96c_0_0 29,31,8,7,14
d363a7205114f4d17db10a8b42d29c06_0_0 8,29,18,4,20,11,27
60956afbaa706d86ba016f6f3da708fc_0_0 2,9,29,21,8
cb782a7f7a179be227d516a1cc512920_0_0 8,3,29
77fd5d504771c8574ec676d3957e3010_0_3 29,8,7,14,31
ced13c76494afc5a78978146ee428d63_0_8 9,28,25
c5231d87692ae95be765e9e029f39eb7_0_29 9,30,23
e264da26f0b14d60217bda2e7d1c978c_0_3 22,16,18,3,8
6484437f3deb251a647a1c70f5d98859_0_4 8,29
3931aea3e8cdcaf7876e944b123f9966_0_3 3,8,16,22
f8382b36c427c4d99de1aac3d9d957b4_0_11 3,31,16,14
0383f4481eea23076f24a5f60371a3c0_0_0 20,8,15,18,11
673b81a23dd776d8fe2395e01ab2ec17_0_10 11,22,20,8
b371800f2832f991b3f684bc83958d14_0_6 16,3
d9f7b21ad27c073b5d2256a54801bcbd_0_2 8,3,22,16
5353addb53f26ffd9b516270a8e8de76_0_0 2,14,21,31,8,29
bf2241c6dc8724e819da294fdc7efd90_1_4 30,8
22a1aecccb92bcd684fddec55c435906_0_6 16,3,7
e6b328b423b394c799a2d9a311d861d8_0_0 3,29
42dac29c3c58ad87d6fca4366599932d_0_16 8,9,30
81d49e2af728cc1025c1fe82ed287df7_0_100 26,18,1,20,8,11
d66e7804ec236366f89e3d704f0bbd4d_0_17 3,16
d0e3143c200e89a98c39880d59aeddf3_0_7 3,16
33824946e791e4ba25759ef1c84ee523_0_3 22,18,5,16,3,8,7
58858fa8b3bc5aef77ae853e5f9e32d6_0_3 22,31,8,18,14,29,11,20
873367915c5c62e70be34205a525f413_0_0 11,2,7,8,5,22,18,29,20,21
b6b9ad4087e1b84761276543ce4b315e_0_0 9,3,2,21,16
f148bba805fabf4a0e052f8397f221a3_0_2 16,29,3
1975548655460c954585052ba3c64d63_0_0 18,8
f39fa90c5c6e1a56c0da08b856e69d84_0_3 26,9,0
47be537edea61ace85f248e98287cd27_0_13 9,25
2b60d75314b9d916b03b686735e376eb_0_12 7,2,3,8,21,29
6b32eea894c3c978baaba95389829279_0_15 7,16,3
5165713ffee9cc66a0714048e9a2c612_0_45 8,29,23
d31c73d6b98775171fb68efffde41494_1_9 3,7,16
da0e005ed6eccb061399f3d8946408a3_0_1 21,26,30,8,2,1,18
0065a33567727d9f4f7056f64b8809e9_0_0 29,18,21,8
42f0ac6065a656ffb065156601764e5b_0_88 0,25,9,26
90ceec7fff9f4156427adc2b81b59caf_0_5 3,29
18cbedf8563b6c85bcc9d9a371634081_0_2 0,26,9
bdd43f007ff977effe33203c1b2e1512_0_5 29,3
5fa30129ba02e757d18f413c8d149abb_0_3 5,18,8
ad4d562f83f88268a7a35c521ab636d7_0_51 8,29
efe88ed6323c5e2d432a231a56cf9e9a_0_0 30,22,8,18
6710347ff9e8aaafdeee00b80ce47851_0_0 29,15,22,7,20,8,11,18,3
266ba83a46164f4003f6930f0a178ed7_0_2 25,9,26,0
eadc89e8cb99134fa857c9c1e427b429_0_1 3,29,10,8,16,31,14
d99adb3fb4fedd6942d690ad28acf538_0_2 8,18,9,30,25
5dc5c9b0c9b683212a1754eed2eefacb_0_0 8,20,22,11
466778ead5017486fb605cb23f32d284_0_0 9,25,26,0
e2ddabba13d978dc40548a0fbc90abed_0_0 0,9,26
b0bd2853b70a2b9eacd2150f5f56a806_0_3 26,9,0,17
f9f4ce2c46f085a51345751cc34ff468_0_25 31,18,8,7,14,29
a279dcd32aeabab31aee1a31cf778100_0_67 16,3
cc572ebd13f5ba3e61d8d6046dda47e4_0_0 3,29,14,8,31
3525bf2dd224ba32406de968d2bdb25d_0_57 8,31,3,14,29,9,28
180c78c5f67d602cf9aa9936aace1ce9_0_6 8,31,29,14
3553613301eb30feb6da6b3ec5587c17_0_3 25,9
cd434ca757c1877d7090fe389e4950d3_0_1 11,30,20
511a0d86a9417687445d36a813c4752a_0_2 22,6,24,30,8
bcb58a2a2e123c2bc825491a60c1a75f_0_152 22,8,11,20,27
606d7a6b3126f8086d7a5ce61ae376dc_0_53 5,3,16
b7b4536632fc80a41fd8d9a842779c5e_0_6 9,8,30,18,0
a45316bbd7ea032021963940cd8ba7c5_0_9 3,29
eae0eff137b1072fa3eb7d0171ebe460_1_5 9,0
5d9f2977e900b6f37ba40b8eb9f70ffc_0_9 29,7,8,3
b18fb548410dc2765e83cceb879e8437_0_0 18,3,22,8,20,11,16
a2c59f22b541e2effef78e9d2e64b89d_0_4 16,20,3,11
eae0eff137b1072fa3eb7d0171ebe460_1_6 3,14,8,31,29
8e0f26934c11a9b0d548b173c011bc11_0_26 29,12,8
ec1946a2a58d2daf208c1f5fc96039ee_0_6 6,9,27,5
f24453c6748c2bd451604c7e0d1a60d8_0_7 26,9,0
42dd74baecab9a10ccbd5f1dd5442ee3_0_7 3,16
806977eea8c6dd1613a26c7017e83861_0_0 8,9,23,29
0bfbd2058671865a13b543f8195bbc1b_0_12 28,18,13,8
7c9433ef5380fe2ac6f431112f4efd58_0_1 7,9,25,0,8,29
c93b964c8ef31b278c2581a6d80bac09_0_0 29,14,3,18,31,8
93bb148f653bb72401849fd5efddcf3c_0_15 8,2,21,29
1f001cec5caf140d425bbb81d263d7c0_0_11 20,11,8
84a2f68f5c78fd318afe82255238ce6e_0_18 3,16
f33563ff91aafb6063b86843676a0674_0_60 26,0,9
facd5cee12a908a93bfdb45bfa85e2aa_0_3 8,30
5f404e6858d6bc3d6d7df439b4bdcb50_0_16 30,8
e1bbb36987c237c49895f7811e0e6940_0_2 3,29
41f71c1fbea2424fc9bdb226b9f7d760_0_6 27,6,20,11,8,24,22
0f51c4d0fd41ab71373a525f1e9d56d9_0_0 11,8,20,22
a7b095022a8952c7e29580546f59ac67_0_0 21,8,2,7,29
ad884558d3c2663bb33dfa06b52b31b2_0_0 5,11,20,3,22,16,8,18
823ab7a66d2c861951bf55b96e14cb7e_0_1 18,20,11,8
98453734506ea3f8a0c0597355632602_0_31 3,29
eefaa0e583b7966491a8b7fc818d0522_0_2 2,9,29,8,22,21
3e4565e9a3678ecb33787f34be75eb4a_0_10 9,2,21
1b76ba0c4eef9a543252eb9cf4893f6a_0_0 0,9
aab234c798b56d71ee4a616d2db75871_1_0 7,11,20,15
4054d25bf97542ecee15f364a6003b28_0_4 9
d9250cb903ad0897fb274f37027b0de3_0_3 9
0d7dde2bfdaa9474817c31167baf9187_0_42 9
42c7c91740e179703bd865dac270d4db_0_5 9,30,17,25
d09780030d6082f4116464ed77c4add6_0_5 18,8,20,11
f9a708892868af75bbd20f63a1dae9d6_0_0 31,11,20,14,8,29
a137383449206dbe025e41885144dc4f_0_11 8,20,22,11
6bb001fe372a197f364e38956cafb49e_0_0 8,29,18
7a7c58e07c47c1d90a5ceb6ff59d68b9_0_0 8,29
7a9be7e13c308de892f24de1376e5342_0_0 3,16
1e1e55da6a9f0ece5f86a2f09f85d8df_1_2 0,26,9,25
e7f27cd66d82353deee01218febd773c_0_11 9
81cb2bfdff78ce0bfe6a24d24d3eff7d_0_14 8,2,21,29
ef0c630abc5fc74ce1eae47cfdeca09a_0_1 25,9,0
fe681fddd51474b21a02572ac9c28421_0_3 9,0,25,26
88080c3c78b15bb1d4ed85ecfb8e1550_0_6 18,8,29
af28a96f7dab88fe67f3659e9a0bf929_0_2 18,29,7,8,3
6b9e9724176cf428f774d1e81412f38c_0_14 8,20,11,22
cf754272574c4ecde740b306c3531501_0_0 29,3
0ec73409c7bea64a8107dbc76abd1c91_0_12 8,11,18,20,22
356929cd8ae9051b6a1b31abdfde8058_0_0 3,16
1ef60874096c1acba7d65077e1078b45_0_1 
4723b28e5c906f12b9edb3a648530875_0_2 3,7,16
9b9e9edd99fd7a5910610098a7245b18_0_41 3,16
b6c757d67f127e3bf4d1af3140d4a347_0_16 14,27,2,29,7,18,4,3,31,21,8,30
1fdfd06020e9bfbdac06b283492fc46b_0_15 9,30,10,1
187a988aa68e939df6ac42be38489ef1_0_2 8,20,15,3,16,11
3b1268fd6e52d13f6adb177011e668cb_0_249 22,18,11,20,8
aadcbb23e1d4c64747d279ba91d32d71_0_122 18,8,22
d9d55be546bf1e17ad1ac136d6f1222c_0_10 20,22,8,11
76a38a923be02804ad99abeb0028b4fe_0_2 10,11,8,18,20
87ea106118f4afa504e0c6ec67884df6_0_9 0,9
07377fc29877cfc7c60574c96bb27db9_0_0 22,5,20,32,8,11
2b1a93155897295a274eebb756efec7a_0_2 3,11,29,20,8
50e31bef5357501380f5128c5e5661b7_0_0 25,9,30
34d78e1723478d928d5bdf657543d0ae_0_9 27,31,2,6,18,29,21,8,14
466f37e403e87fef06d98eea91bf7770_0_129 25,9,13,28
da8aa3d4fa7fd76cfb82f4c7eddd410e_0_3 9
b68026e774acd29f8c78f11bbc8e68d1_0_2 20,3,11,16
17d0225220750189971ac969b08a6b43_0_2 8,29
6de98845e23275d8ad1197d5f31af041_0_0 2,21
8530dde3587bbc174b4b6798e6be66d2_0_5 27,29,18,14,8,6
98a37362d6668ea446362d8059b10b58_0_15 9,3,16
036490a241d44d69ae43d402374dc22a_0_3 3,2,31,7,8,14,29,21
9e5d3ea9f0c0d06751da31a89217597e_0_5 11,8,20
b0620e19ed08d9d6dff6d36206c5dcae_0_10 2,21,29,8,3
9f21ca74d8491b270cdb91399f151dd3_0_0 31,14,3,29,8
f16520e3b638a8d965666d665b67025f_0_10 3,29,8
8432b33843ae277bf3ffd2248ea1b7ad_1_85 9
0b399149b499d9237194f302e3ffb421_0_1 8,26,30,0
908460db518b5817dac1da1eac222ecf_0_2 3,29
76a1f7e06f66b1b00b76465d8a2bc30b_0_0 7,9,3,26,28,10,25,29,0
78cdf8f6fd247115d1e6c5ac643d3532_0_1 3,16
4dec794666c1f91ff15733163099a010_0_1 25,9
2129d5b2e5c10315b4000bc405493d04_0_8 8,27,29,6
e380ffde90e823f51de3d578bf145c79_0_51 5,20,11,8,15,22
91e908d68a0d8bea677b7102d2f3685d_0_69 8,5,18
d8757b619af5ff8ae25d277ed01ab9e0_0_7 0,26
ba2cb2c1225da0fc3ea98e97e2e2b98d_0_7 9,3,29,0,26
94f2930bfe2d064a2b38355a06edf69b_0_2 0,9
e85824a278be8a4d008b819a95a51aed_0_1 3,29
fa07425cdd60105f1d06f6fb60fe29af_0_1 8,20,22,11
e61f512a21992d33f9b4c3418c29689e_0_1 8,29,14
fdbb6be23562cf1a594ef1b83fb30239_0_4 3,16
2d88ac9f7553afe1da9c4d9633e848d5_0_11 18,8
abaeceeed68738193b15a94cedf4db1e_1_2 27,31,29,8,14
86fcc3ef880e8282b5173053c20b2d93_0_10 0,25,26,9
064706a2f0f336b33098fd40d00cd149_0_0 29,31,8,14,3,7
9ecc70bfa1549bda8b5325e8a9c987c2_0_4 3,14,7,16
a4f86312f6e513baa72878ed0a3f2e52_0_12 6,27,3,18,8,29
b0e60abed94918306c3c45649b7e4135_0_18 28,0,26
e78488fccfc6871503d32753d43aa6ce_0_12 0,9,25
4527e6709c7b9e4a65bdc9add9ac474f_0_40 9
d7430012e48153af1f20fc876660153e_0_1 26,25,0,9,23
0a83d94e9df3a8d07c71f0fe125f4b57_0_0 9,14,3,31,8,0,26,18,16
511a0d86a9417687445d36a813c4752a_0_1 8,29,5,14,31
bb332ebe2f2d1e341d2c6b4df00b8c50_0_0 3,16
43df7b542f4d9bc78495410929586ca3_1_3 18,8,20,11
499b7ccd94de2cfc75ba4ed3f8e71a19_0_1 3,29,14,7,31
667dd0a5e821bc5a7fc4ca799028c909_0_2 29,14,3
95b494f55f2fa1e7dc5a61073cb1dfd8_0_1 16,3
5e9b15b280b5a1b7a7241eae65de94c2_0_0 20,11
27787d6969d8e2e29eac793a4669c274_0_2 18,20,22,11,8
8a547cf9ed1d97afb8fa73f19bdd2c41_0_17 20,29,31,3,14,8,7
aee63d28a33dd2a743354a9fe875bf9a_0_0 26,0
5e3537d5729baddc885339d1f127fad0_0_9 8
33c08f31828b0ce1590ba952805932f1_0_3 31,2,21,29,8,14
5a8a321d7cffd3f123f810520141a47f_0_6 18,8,30
f45c17e54d2f20ec3a95ee3427fa2b43_0_3 31,11,18,7,14,16,29,20,3,22,8
4b8eea2fe22061720cddc8c1d658cc9c_0_0 11,20
a5eeb84c7d58aee57859c41172898171_0_9 29,3,7
8662a63e5e9e7b0cca8a02271b5771ec_0_2 14,8,21,5,29,18,2
b1ae1c4a29aa87a85a282d4d21b13744_0_6 18,22,3,16,14,11,31,8,20
53e60bfec9e8ba78df2d0d0358b2160c_0_10 23,9,5
964c82f9f9f4c5a75099324bac78c7a5_0_73 29,7,3
9d5a0e6f4b74b3a69ee2723e97fe9283_0_13 9,25
231542fd6a45ac1c888633848fa5e7c1_0_0 28,9
d870851e4cfb5b67d1c7e4c4b192493e_0_38 3,16
950290676b402100c86e9674f4be6c99_0_50 29,18,8
2643fac38f62ad8d51a158266df57a5c_0_2 22,8
5509d0c3a9175f0a8675ddbe659e353f_0_0 8,29
91400893ed1bd2aeb60bdbc0483d8ae8_0_0 3,16
9944ad9498008e794c7527d0b8109f0a_0_0 3,29
f4e6d700de46eba0bdf2a008da8d630c_0_17 14,16,3,31
2e1eb73ace0910ff99cae15b458b8f21_0_0 26,29,7,31,28,14,0,9,3
f4ee6e64b59ac26e9d2598a9c8bfc71e_0_0 29,3,7
57ee41ca3b4f1f328eba8d0fd04f52a6_0_6 16,3
a298b467c9718435d5f4fc6cbea67305_1_4 8,30,18
70eecec406daf46fc6eb56efced52e64_0_1 20,8,11
cd6afc11f87e7a9f70236688c76b5d9d_0_0 18,3,9,29,30,8
1cc13b42a1ebb122b9eac0d1e968e4d2_0_43 29,0,8,9
9f8780d7fdcc4703d447d0a7795afcd7_0_4 8,22,20,11,18
d9e7c1893d339233f80ca92e9dcce3ed_0_62 29,8
bb61d9723773e49d7615a4c84e69d469_0_23 23,9
5f8cc852e0e98266860ee4ba92767e5b_0_5 20,8,11,15,18
d3a8f3bf65f11d57af28aaf07ee63b41_0_3 3,29
77fc07ff808b227942318cc3eb8b5178_0_5 16,3
868881b4fad81f223c9e82c20e7250c3_0_5 31,14,29,8
8e91d9e36add2dc93016291d2c27e705_0_3 3,16
4897a959f1a1b1687402fe3d6645c17f_0_3 16,3
da3d0b7a8c5db5066484f9b6a1dc82fa_0_21 3,29,9,8,14,7,31
6634128f236d4a3e88234c50e883b499_0_5 9,2,21
dafd6b93ea297f8b5e1fbaf72b05c133_0_0 9,22,11,3,20,29,8
ee0dd99281c8a273cc4395b4b8495848_0_69 25,9,0,11,28,13,26
58982652fb72bfb3292cbe8bfb7d7813_0_11 29,8,31,14
35bb694f5568eb1d69a1f7383e3ad81f_0_10 7,8,29
2c889f875096f23a7d575c877bd8f5b1_0_0 25,9,30,0,8
4dcbde55d725236f245a53a830339c97_0_89 11,22,20,18,8
e78a485ee403ffa9afe230f15bc4aa20_0_88 22,8,29,18
b6ddc6e49ae0e0a00b0145c23558cbce_0_11 21,3,2,16
ac42deae39c41330569a2220c966765e_0_0 8,18,10,9
3a6b0a360b3dfbb5a0beff82f96f2a4d_0_6 3,9,29
891dcd5d4ec3562a82fc5826ebf0a55e_1_0 17,9,11,25
5a0ddc627b04dee7ef0e6b884ce1385b_0_4 8,29
324b26d999748eca7f2c4b179e529404_0_4 20,8,11,15,3,16
fbf90308f11caf24c7adf8e782164f14_0_103 11,20
3bcf29c30e02305017f0f5b08fa2c0e4_1_0 8,18
749a266a106f5415e2d5f24a19fb9687_0_0 31,3,29,14,18,8
0bb0aa5cdf40c07789cea608a3928d64_0_0 18,8,20,11
b8bf7bd384105cd2d4fe8c249b9bf24a_0_0 9,30
fb15bc6b7dbc6626dc13dfce2928209c_0_12 28,9,25,0,26
64e331d817a53d5d06eddca1aa377ccb_1_0 11,20,18,8
7a22935e8bf9b2f6c3e1a43aea06e481_0_0 3,18,8,22,7,11,20,29
634606869e8b85cf613a19f7da5e8113_0_40 2,21,16,3
a0ae74a815cc842bd297392d0f1db10f_0_3 0,9
512f5c89934c1595a30096b31e8f6dde_0_38 25,9
c6d2ce119fd6c866762bcae21ee9645f_0_0 8,11,18
9f8cd10dfae87fcbc3f0134614d23f92_0_7 18,9,22,30,8
9d509a34f4af735cc8d7110c1e6be53a_0_16 11,18,8,20
bd467a48949293b838d42853a03e849d_0_14 8,11,20
609509caf7bbc784577e11891fdb03d9_0_3 6,8,14,3,27,18,31,29,16
7c2b4339d6b4e146b8d21aa35d65886c_0_29 8,30
7b987ba380cb003c68d4c9a7b214086e_0_1 20,3,29,11
d57c700301e7591579ef9561742b28ff_0_3 29,3
13e6be3be71a6ece123af72ac7091da6_1_0 3,7,16
823aa93efb6e1187bf40af1812069c45_0_7 16,3
69448d2e519cda2885a68e42a3270cc5_0_2 3,29
486bc06bc53fcd8be004ad56e9ae9466_0_14 9,16,20,8,18,32,29,22,5,11,3
890d0037b750c48f2aaf300cecab7fe0_0_3 11,20
86e7df90b67bda463954f8c417cc6556_0_1 3,16
407105720f6ee3bce70c20e929b29b67_0_4 16,7,29,22,18,3,8
4535c93ba72ec8aa3ad017790ea59ee6_0_0 2,29,21,3,7
39021c9c0463f31c2038a64df31b2ee7_0_19 20,29,11,8
b0573c0e2c24967953012ca5b967ca8f_1_1 9
57ca51f626cdda7a9a42bbf03e47136a_0_5 22,8
dc17ecd4c74ef56f13c66b17ac7965aa_0_11 21,9,23,2,5,22
66868726137133b8bea9bee51fc109bb_0_13 20,11,22,15,8
e3fa1c9a92a287099dba0e90820ee622_0_117 22,18,8
eb47b2a54c8a041fd8262085e730a179_0_74 16,2,21,3
a884d319172f1d8d63954692222cb531_0_5 21,2,29,9,8
f38bca3f4663629b438414c860da2488_0_2 31,8,7,18,14,3,6,27,29
1e3c8ed3d2374fc14367c9eba827bfd6_0_13 8,14,29,31
259604d158dfe2b3342016f4b536ccca_0_8 11,20
9527bd39df75fd122c523f42fbea2a3f_0_2 30,8,18
1c02bf5dbfd3e31c16d2b4ce9a03c552_0_46 0,18,29,25,9,17,7,8
efe0286a0449f8668e5467845bb2be9d_1_8 22,20,11,8
dd1365b49d5477cf046595bc893581c4_0_13 8,5,11,18,20,29
2597ae0c8eeb4f0701d8e51d4242ffb8_0_14 18,8,7,29
de7264f1cff55ffeefa44bdfafa8cb2f_0_6 9
f2278e2348f375575ec221b3dde4f996_0_1 25,9
24f42b6e2af6f5ce87456ceb6c8ef916_0_74 20,11,18,5,8
75f66cc22e92b43affc5626fa2a79c16_0_3 30,8,9,28
47e76bb6a2184b9cf0525201d11f0787_0_0 8,29,7
fb3e715cb6dd1c0c0a13f2e489fc1d6d_1_1 14,3,7,29,31
09ea8a44b02c9df918939d388311b479_0_0 14,20,11,8,27,22,21,2,4,18,31,29
b63133ed7f357cc14810b37f3d8c6a5b_0_1 9,23
